"","source","year","price_group_ordered","total_mitigation_by_price_group","cumulative_reduction"
"310","RAC",2025,"at or below zero",0.482886524181597,0.482886524181597
"311","RAC",2030,"at or below zero",4.56106379174682,4.56106379174682
"312","RAC",2030,"above zero",24.8412859345304,29.4023497262773
"313","RAC",2035,"at or below zero",28.5626266527222,28.5626266527222
"314","RAC",2035,"above zero",56.9800809214078,85.54270757413
"315","RAC",2040,"at or below zero",106.816177596565,106.816177596565
"316","RAC",2040,"above zero",104.176481881142,210.992659477707
"317","RAC",2045,"at or below zero",231.37047136971,231.37047136971
"318","RAC",2045,"above zero",73.1344872922894,304.504958661999
"319","RAC",2050,"at or below zero",347.554709014976,347.554709014976
"320","RAC",2050,"above zero",46.7638399456283,394.318548960604
"321","RAC",2055,"at or below zero",347.555848278622,347.555848278622
"322","RAC",2055,"above zero",47.2978217102057,394.853669988828
"323","RAC",2060,"at or below zero",347.556924993711,347.556924993711
"324","RAC",2060,"above zero",47.8056310247358,395.362556018447
"325","RAC",2065,"at or below zero",347.557952211376,347.557952211376
"326","RAC",2065,"above zero",48.288553619803,395.846505831179
"327","RAC",2070,"at or below zero",347.558929085156,347.558929085156
"328","RAC",2070,"above zero",48.7478082025841,396.30673728774
"329","RAC",2075,"at or below zero",347.5598580824,347.5598580824
"330","RAC",2075,"above zero",49.1845547411799,396.74441282358
"331","RAC",2080,"at or below zero",347.560741549536,347.560741549536
"332","RAC",2080,"above zero",49.5998963537128,397.160637903248
"333","RICE",2020,"at or below zero",7.23710607660486,7.23710607660486
"334","RICE",2020,"above zero",356.506833328646,363.743939405251
"335","RICE",2025,"at or below zero",7.28183991980075,7.28183991980075
"336","RICE",2025,"above zero",358.710465638519,365.99230555832
"337","RICE",2030,"at or below zero",9.16113015321981,9.16113015321981
"338","RICE",2030,"above zero",356.227643002627,365.388773155847
"339","RICE",2035,"at or below zero",9.1772989134505,9.1772989134505
"340","RICE",2035,"above zero",355.676619078997,364.853917992448
"341","RICE",2040,"at or below zero",9.2275913472319,9.2275913472319
"342","RICE",2040,"above zero",355.829434991543,365.057026338775
"343","RICE",2045,"at or below zero",9.18737087533107,9.18737087533107
"344","RICE",2045,"above zero",355.4671595552,364.654530430531
"345","RICE",2050,"at or below zero",12.6517701609662,12.6517701609662
"346","RICE",2050,"above zero",352.62815850568,365.279928666646
"347","RICE",2055,"at or below zero",13.192672849567,13.192672849567
"348","RICE",2055,"above zero",351.861857244983,365.05453009455
"349","RICE",2060,"at or below zero",12.8585419535141,12.8585419535141
"350","RICE",2060,"above zero",351.871652967663,364.730194921177
"351","RICE",2065,"at or below zero",13.5743772927666,13.5743772927666
"352","RICE",2065,"above zero",349.82754601298,363.401923305747
"353","RICE",2070,"at or below zero",13.8962398162966,13.8962398162966
"354","RICE",2070,"above zero",348.504087975217,362.400327791514
"355","RICE",2075,"at or below zero",11.8832965822714,11.8832965822714
"356","RICE",2075,"above zero",349.872604637392,361.755901219664
"357","RICE",2080,"at or below zero",13.4149867766652,13.4149867766652
"358","RICE",2080,"above zero",348.202570353791,361.617557130457
"359","SEMI",2020,"above zero",24.7952388816052,24.7952388816052
